#Coverage (X)	Coverage
1.0	100.0
2.0	100.0
3.0	100.0
4.0	100.0
5.0	100.0
6.0	100.0
7.0	100.0
8.0	100.0
9.0	100.0
10.0	100.0
11.0	100.0
12.0	100.0
13.0	100.0
14.0	100.0
15.0	100.0
16.0	100.0
17.0	100.0
18.0	100.0
19.0	100.0
20.0	100.0
21.0	100.0
22.0	100.0
23.0	100.0
24.0	100.0
25.0	100.0
26.0	99.99999003794845
27.0	99.99999003794845
28.0	99.99999003794845
29.0	99.99999003794845
30.0	99.99998007589689
31.0	99.99998007589689
32.0	99.99998007589689
33.0	99.99998007589689
34.0	99.99997011384534
35.0	99.99995018974222
36.0	99.99995018974222
37.0	99.99995018974222
38.0	99.99995018974222
39.0	99.99993026563911
40.0	99.99993026563911
41.0	99.99992030358754
42.0	99.999910341536
43.0	99.99990037948443
44.0	99.99990037948443
45.0	99.99984060717509
46.0	99.99975094871108
47.0	99.99939231485503
48.0	99.99837618559621
49.0	99.99586574860385
50.0	99.99049620281461
51.0	99.98086289895899
