>NC_002516.2 Pseudomonas aeruginosa PAO1 chromosome, complete genome
>NC_002947.4 Pseudomonas putida KT2440 chromosome, complete genome
>NC_012660.1 Pseudomonas fluorescens SBW25 complete genome
>NC_005773.3 Pseudomonas savastanoi pv. phaseolicola 1448A, complete genome
>NC_007274.1 Pseudomonas savastanoi pv. phaseolicola 1448A large plasmid, complete sequence
>NC_007275.1 Pseudomonas savastanoi pv. phaseolicola 1448A small plasmid, complete sequence
>NC_004129.6 Pseudomonas protegens Pf-5, complete genome
>NC_007492.2 Pseudomonas fluorescens Pf0-1, complete genome
>NC_009434.1 Pseudomonas stutzeri A1501, complete genome
>NC_008463.1 Pseudomonas aeruginosa UCBPP-PA14, complete genome
>NC_009439.1 Pseudomonas mendocina ymp, complete genome
>NC_009512.1 Pseudomonas putida F1, complete genome
>NC_009656.1 Pseudomonas aeruginosa PA7, complete genome
>NC_010322.1 Pseudomonas putida GB-1, complete genome
>NC_010501.1 Pseudomonas putida W619, complete genome
>NC_008027.1 Pseudomonas entomophila str. L48 chromosome,complete sequence
>NC_011770.1 Pseudomonas aeruginosa LESB58 complete genome sequence
>NZ_CP008742.1 Pseudomonas savastanoi pv. savastanoi NCPPB 3335, complete genome
>NC_017530.1 Pseudomonas putida BIRD-1, complete genome
>NC_015379.1 Pseudomonas brassicacearum subsp. brassicacearum NFM421, complete genome
>NC_017532.1 Pseudomonas stutzeri DSM 4166, complete genome
>NC_015410.1 Pseudomonas mendocina NK-01, complete genome
>NC_015556.1 Pseudomonas fulva 12-X, complete genome
>NC_015740.1 Pseudomonas stutzeri strain CGMCC 1.1803, complete genome
>NC_015733.1 Pseudomonas putida S16, complete genome
>NZ_CP015202.1 Pseudomonas putida B6-2 chromosome, complete genome
>NC_017548.1 Pseudomonas aeruginosa M18, complete genome
>NC_016830.1 Pseudomonas fluorescens F113, complete genome
>NZ_CP005960.1 Pseudomonas mandelii JR-1, complete genome
>NZ_CP005961.1 Pseudomonas mandelii JR-1 plasmid, complete sequence
>NC_017911.1 Pseudomonas fluorescens A506, complete genome
>NC_021361.1 Pseudomonas fluorescens A506 plasmid pA506, complete sequence
