#Coverage (X)	Coverage
1.0	100.0
2.0	100.0
3.0	100.0
4.0	100.0
5.0	100.0
6.0	100.0
7.0	100.0
8.0	100.0
9.0	100.0
10.0	100.0
11.0	100.0
12.0	100.0
13.0	100.0
14.0	100.0
15.0	100.0
16.0	100.0
17.0	100.0
18.0	99.99993328924494
19.0	99.99981098619399
20.0	99.99968868314303
21.0	99.99952190625538
22.0	99.99928841861265
23.0	99.99906604942912
24.0	99.99894374637816
25.0	99.99878808794968
26.0	99.9986324295212
27.0	99.99847677109271
28.0	99.99818769115411
29.0	99.99794308505221
30.0	99.99763176819525
31.0	99.9974093990117
32.0	99.99717591136898
33.0	99.99679788375695
34.0	99.99629755309398
35.0	99.99544143173733
36.0	99.99440741503385
37.0	99.99350681984049
38.0	99.99250615851454
39.0	99.9919835909332
40.0	99.9915499710253
41.0	99.99130536492339
42.0	99.9909606926889
43.0	99.99056042815852
44.0	99.98998226828131
45.0	99.98942634532244
46.0	99.98890377774111
47.0	99.9884256839965
48.0	99.98790311641515
49.0	99.98731383807876
50.0	99.98651330901801
51.0	99.98547929231452
