#Duplication rate	Coverage
1.0	155183.0
2.0	8441.0
3.0	2455.0
4.0	1322.0
5.0	820.0
6.0	541.0
7.0	450.0
8.0	307.0
9.0	252.0
10.0	177.0
11.0	153.0
12.0	125.0
13.0	106.0
14.0	95.0
15.0	70.0
16.0	43.0
17.0	61.0
18.0	47.0
19.0	41.0
20.0	36.0
21.0	30.0
22.0	34.0
23.0	25.0
24.0	19.0
25.0	16.0
26.0	16.0
27.0	14.0
28.0	15.0
29.0	14.0
30.0	8.0
31.0	8.0
32.0	8.0
33.0	5.0
34.0	8.0
35.0	6.0
36.0	4.0
37.0	1.0
38.0	4.0
39.0	4.0
40.0	5.0
41.0	5.0
42.0	3.0
43.0	4.0
44.0	5.0
45.0	7.0
46.0	1.0
47.0	2.0
48.0	4.0
49.0	8.0
50.0	97.0
