#Coverage (X)	Coverage
1.0	100.0
2.0	100.0
3.0	100.0
4.0	100.0
5.0	100.0
6.0	100.0
7.0	100.0
8.0	100.0
9.0	100.0
10.0	100.0
11.0	100.0
12.0	100.0
13.0	100.0
14.0	100.0
15.0	100.0
16.0	100.0
17.0	100.0
18.0	100.0
19.0	100.0
20.0	100.0
21.0	100.0
22.0	100.0
23.0	100.0
24.0	100.0
25.0	100.0
26.0	100.0
27.0	100.0
28.0	100.0
29.0	100.0
30.0	100.0
31.0	100.0
32.0	100.0
33.0	100.0
34.0	100.0
35.0	99.99999014636394
36.0	99.99992117091152
37.0	99.99970439091818
38.0	99.99910331911848
39.0	99.99761542007332
40.0	99.99502391378935
41.0	99.99114158118145
42.0	99.9851407168205
43.0	99.97617390800526
44.0	99.96584729741367
45.0	99.9553137604648
46.0	99.94479993078807
47.0	99.93014757396583
48.0	99.90783894192444
49.0	99.87417892114115
50.0	99.82642820079109
51.0	99.76348317363545
