#Duplication rate	Coverage
1.0	133255.0
2.0	7167.0
3.0	2138.0
4.0	1114.0
5.0	704.0
6.0	438.0
7.0	310.0
8.0	251.0
9.0	166.0
10.0	141.0
11.0	99.0
12.0	91.0
13.0	55.0
14.0	63.0
15.0	44.0
16.0	28.0
17.0	35.0
18.0	27.0
19.0	26.0
20.0	18.0
21.0	13.0
22.0	10.0
23.0	25.0
24.0	7.0
25.0	9.0
26.0	4.0
27.0	4.0
28.0	6.0
29.0	6.0
30.0	5.0
31.0	4.0
32.0	5.0
33.0	0.0
34.0	1.0
35.0	2.0
36.0	2.0
37.0	5.0
38.0	2.0
39.0	2.0
40.0	2.0
41.0	5.0
42.0	1.0
43.0	3.0
44.0	0.0
45.0	2.0
46.0	0.0
47.0	1.0
48.0	1.0
49.0	2.0
50.0	32.0
