sample,timepoint,type
16,1.5hrs,in_planta
17,1.5hrs,in_planta
20,1.5hrs,in_planta
25,3hrs,in_planta
26,3hrs,in_planta
27,3hrs,in_planta
28,6hrs,in_planta
29,6hrs,in_planta
30,6hrs,in_planta
34,12hrs,in_planta
37,12hrs,in_planta
38,12hrs,in_planta
3,24hrs,in_planta
41,24hrs,in_planta
42,24hrs,in_planta
10,48hrs,in_planta
43,48hrs,in_planta
44,48hrs,in_planta
12,72hrs,in_planta
6,72hrs,in_planta
8,72hrs,in_planta
55,96hrs,in_planta
56,96hrs,in_planta
57,96hrs,in_planta
49,120hrs,in_planta
50,120hrs,in_planta
51,120hrs,in_planta
Sample_01,minimal,in_vitro
Sample_02,minimal,in_vitro
Sample_03,rich,in_vitro
Sample_04,rich,in_vitro
Sample_05,starved,in_vitro
Sample_06,starved,in_vitro
Sample_07,rich,in_vitro
Sample_08,rich,in_vitro
Sample_09,rich,in_vitro
Sample_11,starved,in_vitro
Sample_12,starved,in_vitro
