AE016877	AE017194	0.001935
AE017194	AE017225	0.002579
AE015924	AP009380	0.00327
AE016877	AE017225	0.003874
CP000800	U00096	0.005212
AE014613	FN543502	0.023157
AE014613	CP000800	0.025898
CP000800	FN543502	0.026529
AE014613	U00096	0.028634
FN543502	U00096	0.029263
AE014613	CP003200	0.033435
CP003200	U00096	0.038917
AE008923	AM743169	0.040257
AE015451	CP000438	0.042426
CP000800	CP003200	0.043103
CP003200	FN543502	0.045288
AM942759	CP003200	0.073072
AM942759	U00096	0.077359
AE016877	CP000253	0.078302
AE017194	CP000253	0.07902
AE014613	AM942759	0.079794
AM942759	CP000800	0.080365
AE017225	CP000253	0.081154
AM942759	FN543502	0.085768
BX548174	CP000100	0.100883
CP000100	CP000951	0.108614
AL123456	CP000249	0.115102
BX548174	CP000951	0.125938
AE004969	CP001503	0.136712
AM942759	CP000947	0.140697
AE015451	AE017354	0.144165
CP000947	CP003200	0.145092
AE014613	CP000947	0.146671
CP000947	U00096	0.147083
CP000947	FN543502	0.147293
CP000800	CP000947	0.147804
AE008923	AE015451	0.1552
AE017354	CP000438	0.156084
CP000438	CP003200	0.158784
AE014613	AE015451	0.159484
AE015451	AM743169	0.160282
AE006641	CP000816	0.162447
AE014613	CP000438	0.16455
AE015451	CP000800	0.164719
AE015451	U00096	0.167255
CP000438	CP000800	0.169819
AE008923	CP000438	0.170234
AE015451	FN543502	0.17053
AE015451	AM942759	0.171437
CP000438	U00096	0.172374
AM180355	CP000721	0.173362
AM180355	CP000253	0.17355
AM743169	CP000438	0.174941
CP000438	FN543502	0.175858
AE008923	AE017354	0.17595
AE017354	AM743169	0.179029
AM743169	CP001503	0.180139
AE015451	CP001503	0.181033
AE016877	AM180355	0.182315
AE017194	AM180355	0.182322
AE017225	AM180355	0.182322
CP000143	CP002382	0.182533
AE017354	AM942759	0.183129
AM942759	CP000438	0.18329
AE008923	CP001503	0.184763
CP000438	CP001503	0.185186
AE004969	AE015451	0.186323
AE008923	CP003200	0.188191
AE014613	AE017354	0.190418
AE017354	CP000800	0.191106
AE017354	CP003200	0.191168
AE017354	U00096	0.191201
AE004969	AM743169	0.19263
AE016877	CP000721	0.192951
AE017225	CP000721	0.192951
AE017194	CP000721	0.193824
AE008923	AE014613	0.194754
AE017354	FN543502	0.195624
AM743169	CP003200	0.195814
AE008923	AM942759	0.195899
AE004969	AE008923	0.196201
AE004969	CP000438	0.197264
AE008923	CP000800	0.197599
AE008923	U00096	0.197697
AE009950	CP000816	0.198011
AE017354	CP001503	0.198969
AE008923	FN543502	0.200337
AM743169	AM942759	0.200412
AE017354	CP000947	0.205068
AE014613	AM743169	0.206328
CP000438	CP000947	0.210413
CP000143	CP000438	0.211457
AM743169	CP000800	0.211912
AM743169	U00096	0.212879
AM743169	FN543502	0.214686
AE004969	AE017354	0.215255
AE004969	AM942759	0.216088
AE015451	CP000947	0.216127
AE004969	FN543502	0.216466
CP001503	FN543502	0.218292
AE015451	CP000143	0.219532
AE004969	CP003200	0.220043
AE004969	CP000800	0.220579
AE004969	AE014613	0.220724
CP000800	CP001503	0.221143
CP000253	CP000721	0.222257
CP001503	CP003200	0.223902
AE004969	U00096	0.225135
AE016877	CP000249	0.225216
AE017194	CP000249	0.225225
CP001503	U00096	0.225718
AM942759	CP001503	0.22609
AE014613	CP001503	0.226603
AE016877	CP000951	0.227768
AE017225	CP000249	0.227945
AE016877	BX548174	0.228511
AE017194	BX548174	0.229434
AE016877	CP000100	0.229481
AE017194	CP000100	0.22949
AE008923	CP000951	0.229657
AE017194	CP000951	0.229873
AE017225	BX548174	0.230348
AE017225	CP000951	0.231718
CP000249	CP000253	0.231737
AE017225	CP000100	0.232237
AM743169	CP000951	0.23243
AE009950	AE017199	0.235873
AE008923	CP000947	0.23618
AM743169	CP000947	0.236395
AE008923	AE016877	0.236577
AE008923	BX548174	0.237201
AE008923	CP000100	0.237444
AE015451	CP002382	0.237741
AM743169	CP000143	0.237925
CP000438	CP002382	0.237967
AE008923	AE017194	0.23866
AE017199	CP000816	0.238914
AE008923	AE017225	0.239562
AE017194	CP000143	0.242293
CP000947	CP001503	0.243856
CP000143	CP001503	0.244035
AE016877	CP000143	0.244484
AM180355	CP000249	0.24477
AM180355	CP000951	0.244825
AL123456	AM180355	0.245124
AE017225	CP000143	0.245164
AE000511	CP000721	0.245208
AE008923	CP000143	0.245519
AE008923	CP002382	0.245641
AM743169	BX548174	0.246336
AM180355	BX548174	0.246984
AE017354	CP002382	0.247485
AE017354	CP000143	0.247616
CP000253	CP000951	0.248164
AE015451	CP000721	0.248167
CP000143	FN543502	0.248626
